employee_id,experience_group,years_of_experience,role,ats_format_score,ats_content_score,ats_keyword_score,ats_overall_score,current_salary,market_rate,location,company_size,technology_stack_count,performance_rating,project_success_rate,skill_proficiency_avg,certification_count,education_level,institution_ranking,domain_experience,leadership_score,communication_score,project_complexity_avg,learning_velocity,cultural_fit_score,retention_risk_score,negotiation_history_avg,is_internal_referral,time_to_promotion,training_hours_completed,mentorship_participation,cross_functional_experience,required_hike_percentage,timestamp
EMP_0053,freshers,0,Product Manager,100,95.3,95.3,96.9,7.3,8.5,Gurgaon,Mid-size,2,5.0,99.4,7.6,1,Master,73,EdTech,5.7,7.3,5.4,7.7,7.4,1.0,0,False,22,72,True,0,15.0,2025-07-11T14:58:35.789041Z
EMP_0702,mid_level,2,Frontend Developer,87.9,88.5,83.7,86.7,12.4,15.5,Noida,Mid-size,5,4.5,92.3,7.9,2,Master,93,E-commerce,8.6,8.0,6.2,8.1,7.4,1.0,6.7,False,19,237,True,2,25.0,2025-03-29T14:58:35.798286Z
EMP_0905,senior,5,Backend Developer,84.5,100,86.5,90.3,23.3,30.3,Mumbai,Startup,8,4.5,93.0,7.7,3,Master,67,Enterprise Software,5.1,6.8,9.2,6.0,6.8,1.0,17.4,False,7,500,True,5,30.0,2025-04-27T14:58:35.801055Z
EMP_0206,freshers,0,QA Engineer,92.5,98.8,95.4,95.6,9.4,10.8,Delhi,Startup,2,4.6,94.2,7.6,8,PhD,79,Cloud Infrastructure,7.0,8.5,5.8,6.7,9.5,1.0,0,True,25,83,False,0,15.0,2025-06-07T14:58:35.791040Z
EMP_0266,junior,1,UI/UX Designer,84.5,79.8,76.6,80.3,9.2,11.1,Mumbai,Startup,4,3.7,80.9,9.0,8,Master,89,EdTech,5.9,9.8,5.0,7.3,7.9,1.5,28.3,True,22,213,True,1,20.0,2025-05-24T14:58:35.792040Z
EMP_0089,freshers,0,Mobile Developer,81.5,78.3,73.6,77.8,7.5,8.6,Bangalore,Enterprise,2,3.9,82.8,7.4,3,Bachelor,82,E-commerce,7.7,6.9,5.9,7.9,9.2,1.0,0,True,23,56,False,0,15.0,2024-11-24T14:58:35.789540Z
EMP_0380,junior,1,Full-stack Developer,73.8,81.9,74.6,76.8,10.0,12.0,Gurgaon,Startup,4,3.6,78.8,7.0,2,Master,71,Enterprise Software,5.4,7.7,5.8,6.0,8.9,1.4,29.0,False,21,158,True,1,20.0,2025-08-20T14:58:35.793540Z
EMP_0624,mid_level,2,Backend Developer,71.0,76.9,85.1,77.7,19.2,24.1,Mumbai,Startup,5,3.7,81.0,9.7,5,Master,85,EdTech,5.5,8.7,6.8,8.7,8.4,1.3,23.4,False,16,212,False,0,25.0,2025-09-02T14:58:35.797215Z
EMP_0279,junior,1,Tech Lead,76.0,85.5,89.0,83.5,9.5,11.4,Hyderabad,Mid-size,4,4.2,88.5,5.3,5,Master,88,AI/ML,5.9,6.4,5.7,6.8,6.8,1.0,21.6,True,24,164,True,0,20.0,2025-04-17T14:58:35.792040Z
EMP_0188,freshers,0,Mobile Developer,88.5,88.4,88.1,88.3,8.9,10.3,Noida,Startup,3,4.6,93.9,8.6,5,PhD,81,AI/ML,9.4,9.9,5.6,9.2,7.0,1.0,0,True,21,110,True,0,15.0,2025-06-23T14:58:35.791040Z
